id,r,t,p,z,m200b,r200b
45554422577,1651.395264,1.570235,-0.008529,0.420105,663801167872.000000,0.213078
45554336454,1653.010376,1.570445,-0.003155,0.420568,12963646799872.000000,0.573811
45554336456,1654.131226,1.570657,-0.001985,0.420889,1015225384960.000000,0.245498
45554336246,1668.243896,1.570492,-0.040906,0.424931,1718073688064.000000,0.292555
45554336350,1659.178833,1.570684,-0.031838,0.422335,1015225384960.000000,0.245498
45554336249,1660.500610,1.570508,-0.035135,0.422713,507612692480.000000,0.194852
45554336353,1656.988281,1.570653,-0.028908,0.421707,1366649470976.000000,0.271068
45554336354,1657.280640,1.570426,-0.028950,0.421791,1054272454656.000000,0.248606
45554420343,1675.740845,1.570374,-0.047444,0.427079,663801167872.000000,0.213078
45554336253,1672.441162,1.570413,-0.038619,0.426133,1483790876672.000000,0.278602
45554336252,1672.572998,1.570783,-0.038689,0.426171,546659794944.000000,0.199725
45554336376,1658.577148,1.570281,-0.004285,0.422163,741895438336.000000,0.221127
45554422459,1678.104248,1.570600,-0.017977,0.427755,1288555200512.000000,0.265804
45554422662,1676.153931,1.570345,-0.013170,0.427197,468565557248.000000,0.189722
45554336194,1692.980835,1.570538,-0.095987,0.432033,898083979264.000000,0.235667
45554407626,1698.062378,1.570231,-0.089296,0.433497,937131114496.000000,0.239034
45554407625,1698.816528,1.570364,-0.089618,0.433714,20929260290048.000000,0.673149
45554409501,1689.845093,1.570776,-0.081255,0.431130,1444743741440.000000,0.276136
45554336200,1696.500366,1.570482,-0.084699,0.433047,1054272454656.000000,0.248606
45554409505,1697.460449,1.570790,-0.079524,0.433324,507612692480.000000,0.194852
45554409508,1701.208130,1.570780,-0.076998,0.434403,976178249728.000000,0.242309
45554409509,1702.121826,1.570687,-0.076515,0.434667,2069497905152.000000,0.311278
45554415060,1714.372314,1.570378,-0.097048,0.438196,585706962944.000000,0.204371
45554409702,1694.328125,1.570392,-0.069622,0.432421,624754032640.000000,0.208816
45554409715,1691.507935,1.570334,-0.067426,0.431609,976178249728.000000,0.242309
45554409706,1704.590454,1.570529,-0.072433,0.435378,39047127040.000000,0.082869
45554416184,1709.117432,1.570373,-0.067787,0.436682,12065562427392.000000,0.560242
45554416183,1709.740356,1.570732,-0.067674,0.436861,53026001780736.000000,0.917676
45554416177,1712.381348,1.570624,-0.067742,0.437622,1405696606208.000000,0.273626
45554416174,1715.560547,1.570598,-0.073149,0.438538,585706962944.000000,0.204371
45554415918,1719.961792,1.570574,-0.083533,0.439810,2928534618112.000000,0.349470
45554415925,1719.070068,1.570632,-0.082496,0.439551,5193268199424.000000,0.423000
45554415920,1718.966675,1.570253,-0.081687,0.439522,4529467162624.000000,0.404150
45554415921,1719.609497,1.570361,-0.081455,0.439708,976178249728.000000,0.242309
45554415919,1722.718750,1.570559,-0.084036,0.440609,1015225384960.000000,0.245498
45554416021,1743.874268,1.570517,-0.086698,0.446739,507612692480.000000,0.194852
45554416052,1734.898560,1.570305,-0.074162,0.444138,1913309364224.000000,0.303241
45554416049,1739.368164,1.570366,-0.076139,0.445433,2147592044544.000000,0.315145
45554416070,1748.640747,1.570483,-0.076060,0.448120,2616157536256.000000,0.336574
45554416074,1749.995117,1.570409,-0.076542,0.448512,1366649470976.000000,0.271068
45554416071,1749.336060,1.570604,-0.075928,0.448322,1288555200512.000000,0.265804
45554416058,1725.091431,1.570433,-0.071934,0.441296,0.000000,0.000000
45554416252,1725.390137,1.570608,-0.071310,0.441383,0.000000,0.000000
45554416255,1725.917603,1.570253,-0.071844,0.441536,1483790876672.000000,0.278602
45554416260,1726.672119,1.570629,-0.067320,0.441754,859036844032.000000,0.232201
45554416269,1733.413086,1.570657,-0.064900,0.443708,0.000000,0.000000
45554416272,1735.936646,1.570764,-0.063870,0.444439,1483790876672.000000,0.278602
45554416270,1737.931274,1.570750,-0.063679,0.445017,5544692154368.000000,0.432334
45554416273,1736.500854,1.570594,-0.061897,0.444602,741895438336.000000,0.221127
45554416274,1739.579834,1.570620,-0.063522,0.445494,663801167872.000000,0.213078
45554416275,1740.343140,1.570730,-0.063535,0.445716,663801167872.000000,0.213078
45554416277,1740.943604,1.570739,-0.063057,0.445890,2967581753344.000000,0.351016
45554416276,1741.400391,1.570611,-0.063261,0.446022,546659794944.000000,0.199725
45554427536,1741.923340,1.570476,-0.057989,0.446174,780942573568.000000,0.224940
45554336257,1691.138550,1.570568,-0.040984,0.431503,1015225384960.000000,0.245498
45554420612,1692.596558,1.570792,-0.039636,0.431923,4529467162624.000000,0.404150
45554420634,1695.569702,1.570671,-0.037130,0.432779,1054272454656.000000,0.248606
45554427637,1702.590210,1.570586,-0.042598,0.434802,1718073688064.000000,0.292555
45554427640,1702.968018,1.570371,-0.041486,0.434910,819989708800.000000,0.228628
45554336363,1688.705688,1.570711,-0.028656,0.430802,1796167958528.000000,0.296922
45554336367,1691.775635,1.570615,-0.029993,0.431686,1093319589888.000000,0.251638
45554336371,1694.294800,1.570328,-0.025133,0.432412,3631383052288.000000,0.375449
45554420636,1695.778320,1.570261,-0.036382,0.432839,702848303104.000000,0.217177
45554336264,1695.992676,1.570636,-0.036018,0.432901,2069497905152.000000,0.311278
45554420637,1696.292236,1.570323,-0.036514,0.432987,3201864564736.000000,0.360021
45554336380,1700.340820,1.570511,-0.035513,0.434154,898083979264.000000,0.235667
45554336383,1700.468994,1.570554,-0.034531,0.434191,0.000000,0.000000
45554336420,1702.041504,1.570257,-0.031718,0.434644,4334231224320.000000,0.398257
45554336419,1701.846680,1.570626,-0.031688,0.434587,1718073688064.000000,0.292555
45554336369,1697.172119,1.570608,-0.028866,0.433241,1015225384960.000000,0.245498
45554336379,1710.573730,1.570632,-0.039739,0.437101,780942573568.000000,0.224940
45554336421,1709.071655,1.570511,-0.026984,0.436669,507612692480.000000,0.194852
45554336423,1715.230103,1.570392,-0.030779,0.438443,15345521786880.000000,0.606998
45554336389,1717.073730,1.570291,-0.031199,0.438974,117141389312.000000,0.119517
45554336426,1712.351562,1.570259,-0.029018,0.437614,937131114496.000000,0.239034
45554336428,1712.737183,1.570665,-0.029144,0.437725,2147592044544.000000,0.315145
45554336430,1712.171265,1.570614,-0.028252,0.437562,1210461061120.000000,0.260322
45554336424,1714.253662,1.570721,-0.029804,0.438162,1913309364224.000000,0.303241
45554336433,1712.051636,1.570763,-0.026517,0.437527,780942573568.000000,0.224940
45554336425,1714.886841,1.570662,-0.030551,0.438344,78094254080.000000,0.104408
45554428497,1717.112061,1.570505,-0.028915,0.438985,5778974965760.000000,0.438339
45554422471,1689.324219,1.570787,-0.019604,0.430980,1054272454656.000000,0.248606
45554336372,1694.945557,1.570361,-0.024432,0.432599,1327602335744.000000,0.268462
45554336377,1690.687378,1.570691,-0.013983,0.431373,702848303104.000000,0.217177
45554422677,1694.314209,1.570628,-0.016323,0.432417,0.000000,0.000000
45554336373,1695.727295,1.570357,-0.023719,0.432825,1366649470976.000000,0.271068
45554336432,1699.247803,1.570359,-0.022808,0.433839,624754032640.000000,0.208816
45554428517,1702.662720,1.570388,-0.020684,0.434822,624754032640.000000,0.208816
45554422687,1698.194580,1.570343,-0.013820,0.433535,1054272454656.000000,0.248606
